LMCconc,LMC_area,Aragonite_area
0.3,1267,47304
0.3,1148,41107
0.3,525,44361
0.5,954,47316
0.5,463,47621
0.5,1652,45797
1,2634,45769
1,2785,45066
1,1899,45583
2,4131,43860
2,3666,44537
2,2348,38285
3,5783,41615
3,6040,43952
3,6041,43993
5,14031,42075
5,13079,40768
5,9859,37891
7,19687,42134
10,36433,38792
15,46879,32993
20,64395,28833
25,72919,28506
50,113804,12128
100,169680,0
