"","u","fit","lwr","upr"
"1",0.00962898261375925,0.914833377669775,-6.47419517676543,8.30386193210498
"2",0.0596289826137593,0.605656927999985,-6.1807582309954,7.39207208699537
"3",0.109628982613759,2.92720750498375,-3.82549147300972,9.67990648297723
"4",0.159628982613759,5.10077043990217,-1.65345327677603,11.8549941565804
"5",0.209628982613759,6.38490568323944,-0.518863125128208,13.2886744916071
"6",0.259628982613759,7.00957444452182,-0.0337170237801869,14.0528659128238
"7",0.309628982613759,7.21071741647806,0.0963800554148397,14.3250547775413
"8",0.359628982613759,7.22427529183694,0.106877844287077,14.3416727393868
"9",0.409628982613759,7.28618876332722,0.204618611714732,14.3677589149397
"10",0.459628982613759,7.63239852367766,0.587922056852311,14.676874990503
"11",0.509628982613759,8.49884526561702,1.46124118333778,15.5364493478963
"12",0.559628982613759,10.1214696818741,3.04554831812801,17.1973910456202
"13",0.609628982613759,12.7362124651776,5.58278990968775,19.8896350206674
"14",0.659628982613759,16.5790143082563,9.33299710222213,23.8250315142905
"15",0.709628982613759,21.885815903839,14.564951627221,29.206680180457
"16",0.759628982613759,28.8925579446544,21.5424298224398,36.2426860668691
"17",0.809628982613759,37.8351811234314,30.5063395048144,45.1640227420484
"18",0.859628982613759,48.9496261328986,41.6503626458151,56.2488896199822
"19",0.909628982613759,62.4718336657849,55.0894548514147,69.854212480155
"20",0.959628982613759,78.637744414819,70.8383591890391,86.4371296405988
