"","area.ratio","fit","lwr","upr"
"1",0.0260855242840378,-0.124479701336957,-7.08557808492187,6.83661868224795
"2",0.0271683824399479,-0.0533025097990993,-7.00781412202454,6.90120910242634
"3",0.011696297286459,-1.12295168707701,-8.19227497168217,5.94637159752815
"4",0.019763828464885,-0.550979150630745,-7.55475155173136,6.45279325046987
"5",0.00962898261375925,-1.27461104558846,-8.36285310482532,5.8136310136484
"6",0.0348163291112563,0.434028389995127,-6.47963356192936,7.34769034191962
"7",0.0544181145796748,1.56416525417477,-5.28497433217996,8.41330484052949
"8",0.0582015004911078,1.76334408644707,-5.07907835951155,8.6057665324057
"9",0.0399941030285161,0.748917201851929,-6.14240951104305,7.6402439147469
"10",0.0860786397449522,3.05413881268853,-3.78197703604607,9.89025466142314
"11",0.0760533576748335,2.62474457262342,-4.20600268442969,9.45549182967652
"12",0.0577855437698422,1.74173710144965,-5.10134344458206,8.58481764748135
"13",0.12200936748386,4.3004622188869,-2.59910761446813,11.2000320522419
"14",0.120819331092975,4.26600967519799,-2.6307406989252,11.1627600493212
"15",0.120737898229204,4.26363600152836,-2.6329225821181,11.1601945851748
"16",0.250080205325634,6.00937347856936,-1.16240335056017,13.1811503076989
"17",0.242891897413041,5.98967952560614,-1.17404687642048,13.1534059276328
"18",0.206471204188482,5.78686481092445,-1.31949776108112,12.89322738293
"19",0.318451658821436,6.01806066300249,-1.18483860785758,13.2209599338626
"20",0.484320372216683,7.23326807195174,0.0109962625068674,14.4555398813966
"21",0.586926582532051,11.3418738077988,3.97154309077094,18.7122045248266
"22",0.690725962157292,20.2667252913989,12.7452716531838,27.7881789296141
"23",0.71894503327582,23.7586720532158,16.2212292678626,31.2961148385689
"24",0.903694057110186,61.2463401427589,53.6510991140396,68.8415811714782
"25",1,93.1142829343619,84.2752328573599,101.953333011364
