"","area.ratio","fit","lwr","upr"
"1",0.0520660343299747,-4.28348090807596,-14.1407552081374,5.57379339198549
"2",0.0996001046455133,-0.0892529751314255,-9.06737079071246,8.88886484044961
"3",0.140980441781487,2.55167214571321,-6.0551778018996,11.158522093326
"4",0.184140606761309,4.46546489149892,-3.99140981215756,12.9223395951554
"5",0.214860694248534,5.39221265730001,-3.03654954002006,13.8209748546201
"6",0.244542658499393,6.00579211143253,-2.42328621429715,14.4348704371622
"7",0.279218513200925,6.44275094273111,-1.99642227062648,14.8819241560887
"8",0.307530504635182,6.63117250571828,-1.81347777245921,15.0758227838958
"9",0.338713407859232,6.7220130417974,-1.72142691596721,15.165452999562
"10",0.361412686887067,6.74484226811757,-1.69302259144526,15.1827071276804
"11",0.41063748662422,6.79113713014608,-1.62767627799661,15.2099505382888
"12",0.437781545539094,6.88348642967803,-1.52612017698396,15.29309303634
"13",0.479146313970091,7.22717902581768,-1.17886682339535,15.6332248750307
"14",0.508834785440925,7.69423249426659,-0.720939179864579,16.1094041683978
"15",0.536873685002849,8.35808938818924,-0.0759527396453024,16.7921315160238
"16",0.652973686025659,14.3830522944786,5.80446375686529,22.9616408320919
"17",0.726145509072963,21.8984072872261,13.2715151205483,30.5252994539038
"18",0.774815532379735,28.9612899455506,20.3714049528906,37.5511749382106
"19",0.820580909337143,37.3492963113954,28.8521284993659,45.8464641234249
"20",0.848407900946046,43.360883303303,34.9382095757308,51.7835570308751
"21",0.874307118718991,49.6215766137425,41.2670275371959,57.9761256902891
"22",0.894577740824326,54.9924797643402,46.6789917074912,63.3059678211892
"23",0.91463025859215,60.7302863053786,52.4344952260469,69.0260773847103
"24",0.928074489644605,64.821836735668,56.5181185662193,73.1255549051166
"25",0.939396788976447,68.424139650694,60.0971670471364,76.7511122542517
"26",0.950449569359876,72.0817056032898,63.7140809770429,80.4493302295368
"27",0.960100795318222,75.3915484303697,66.97135876778,83.8117380929593
"28",0.969191296002507,78.6097617564176,70.1233936815219,87.0961298313134
"29",0.976712822023634,81.3474541518325,72.7927126599674,89.9021956436976
"30",0.983922368566829,84.0361250646528,75.4031946423396,92.6690554869659
"31",0.990261142744944,86.4528456324615,77.7401770606208,95.1655142043023
