"","u","fit","lwr","upr"
"1",0.00779611561958603,0.693319851114315,-8.95694541832065,10.3435851205493
"2",0.057796115619586,1.2819477266453,-7.82489509587376,10.3887905491644
"3",0.107796115619586,4.28522077800945,-4.64991674615661,13.2203583021755
"4",0.157796115619586,6.3029806608327,-2.79998561299611,15.4059469346615
"5",0.207796115619586,7.46864653772534,-1.88983273413247,16.8271258095831
"6",0.257796115619586,8.01338670438347,-1.54041269831074,17.5671861070777
"7",0.307796115619586,8.16836945650319,-1.47804015541526,17.8147790684216
"8",0.357796115619586,8.1647630897806,-1.48633845029142,17.8158646298526
"9",0.407796115619586,8.23373589991181,-1.37484293541309,17.8423147352367
"10",0.457796115619586,8.6064561825929,-0.958156024708753,18.1710683898946
"11",0.507796115619586,9.51409223352,-0.0406920202108747,19.0688764872509
"12",0.557796115619586,11.1878123483892,1.5936248013307,20.7819998954477
"13",0.607796115619586,13.8587848228966,4.18488631624487,23.5326833295483
"14",0.657796115619586,17.7581779527383,7.9927377366409,27.5236181688356
"15",0.707796115619586,23.1171600336104,13.2849156569998,32.9494044102209
"16",0.757796115619586,30.1668993612089,20.3205429880701,40.0132557343478
"17",0.807796115619586,39.1385642312301,29.3280597457668,48.9490687166935
"18",0.857796115619586,50.2633229393701,40.4753591174523,60.0512867612878
"19",0.907796115619586,63.7723437813247,53.8334372787494,73.7112502839001
"20",0.957796115619586,79.8967950527904,69.3568940016198,90.4366961039609
