"","u","fit","lwr","upr"
"1",0.0520660343299747,1.72913937266566,-2.5499634862822,6.00824223161352
"2",0.0770660343299747,1.3505160653663,-2.60696603448406,5.30799816521666
"3",0.102066034329975,1.12765419864904,-2.63225986666411,4.88756826396219
"4",0.127066034329975,1.05246142751757,-2.60129525429747,4.70621810933261
"5",0.152066034329975,1.11684540697557,-2.49031890218385,4.72400971613499
"6",0.177066034329975,1.31271379202672,-2.28100845402822,4.90643603808167
"7",0.202066034329975,1.63197423767472,-1.96239550772527,5.22634398307471
"8",0.227066034329975,2.06653439892324,-1.53058954932524,5.66365834717172
"9",0.252066034329975,2.60830193077597,-0.987473437745673,6.20407729929761
"10",0.277066034329975,3.24918448823659,-0.339199376912019,6.83756835338519
"11",0.302066034329975,3.98108972630878,0.405163469161879,7.55701598345568
"12",0.327066034329975,4.79592529999624,1.23476148987686,8.35708911011562
"13",0.352066034329975,5.68559886430265,2.13790529760056,9.23329243100473
"14",0.377066034329975,6.64201807423168,3.10287837472159,10.1811577737418
"15",0.402066034329975,7.65709058478703,4.11861839766185,11.1955627719122
"16",0.427066034329975,8.72272405097237,5.17524745828105,12.2702006436637
"17",0.452066034329975,9.8308261277914,6.26440729652521,13.3972449590576
"18",0.477066034329975,10.9733044702478,7.37936334364208,14.5672455968535
"19",0.502066034329975,12.1420667333452,8.51487310767145,15.769260359019
"20",0.527066034329975,13.3290205720874,9.66685190567582,16.991189238499
"21",0.552066034329975,14.526073641478,10.831890463935,18.2202568190211
"22",0.577066034329975,15.7251335965207,12.0066729567329,19.4435942363085
"23",0.602066034329975,16.9181080922192,13.1873135588919,20.6489026255466
"24",0.627066034329975,18.0969047835772,14.3685855648609,21.8252240022935
"25",0.652066034329975,19.2534313255983,15.5429711595752,22.9638914916214
"26",0.677066034329975,20.4025622438246,16.7215866835715,24.0835378040777
"27",0.702066034329975,21.6616193652676,18.0116324711681,25.3116062593671
"28",0.727066034329975,23.1764789713225,19.5496454476339,26.8033124950111
"29",0.752066034329975,25.0930185714514,21.4765774641313,28.7094596787715
"30",0.777066034329975,27.5571156751165,23.9388835806494,31.1753477695835
"31",0.802066034329975,30.7146477917799,27.0881954723934,34.3411001111663
"32",0.827066034329975,34.7114924309038,31.0795879888379,38.3433968729697
"33",0.852066034329975,39.6935271019504,36.0686923727813,43.3183618311196
"34",0.877066034329975,45.8066293143819,42.207804584578,49.4054540441858
"35",0.902066034329975,53.1966765776604,49.6407021019443,56.7526510533765
"36",0.927066034329975,62.0095464012481,58.4955098703911,65.5235829321051
"37",0.952066034329975,72.3911162946072,68.8757353819943,75.90649720722
"38",0.977066034329975,84.4872637671998,80.8538975834989,88.1206299509007
